h_tract,w_tract,commuters
42003521500,42003020100,136
42003040900,42003020100,135
42003080700,42003020100,135
42003470400,42003020100,135
42003526202,42003020100,135
42003564400,42003564400,135
42003475301,42003475301,134
42003432300,42003020100,133
42003526101,42003526101,133
42003260200,42003020100,132
42003180300,42003020100,131
42003411000,42003409000,131
42003080200,42003020100,130
42003470300,42003470300,130
42003479000,42003020100,130
42003413100,42003982200,129
42003430100,42003020100,129
42003451101,42003452000,129
42003456003,42003459201,129
42003477300,42003478100,129
42003261400,42003020100,128
42003451102,42003451300,128
42003526101,42003421100,128
42003050600,42003020100,127
42003080600,42003020100,127
42003140800,42003140100,127
42003151700,42003040200,127
42003412001,42003409000,127
42003562500,42003020100,127
42003101400,42003982200,126
42003141300,42003140100,126
42003310300,42003020100,126
42003520002,42003020100,126
42003050100,42003020100,124
42003451105,42003459201,124
42003459102,42003451300,124
42003459102,42003452000,124
42003521100,42003521200,124
42003415001,42003421100,123
42003427000,42003427000,123
42003474201,42003020100,123
42003561600,42003020100,123
42003562600,42003020100,123
42003070800,42003040200,122
42003261200,42003020100,122
42003290100,42003020100,122
42003412002,42003982200,122
42003451104,42003020100,122
42003457200,42003020100,122
42003474202,42003474202,122
42003515401,42003982200,122
42003141100,42003020100,121
42003412001,42003411000,121
42003425000,42003020100,121
42003452000,42003564000,121
42003457200,42003458000,121
42003564000,42003451300,121
42003409000,42003040200,120
42003484300,42003020100,120
42003526302,42003526302,120
42003462600,42003020100,119
42003509400,42003509400,119
42003515100,42003020100,119
42003460002,42003459201,118
42003521301,42003020100,118
42003270300,42003020100,117
42003468800,42003020100,117
42003488200,42003020100,117
42003521100,42003521301,117
42003561500,42003020100,117
42003070600,42003020100,116
42003141400,42003140100,116
42003407002,42003421100,116
42003413400,42003982200,116
42003421200,42003421100,116
42003515200,42003020100,116
42003451105,42003020100,114
42003140400,42003020100,113
42003260700,42003020100,113
42003414101,42003414101,113
42003450800,42003450800,113
42003451101,42003020100,113
42003451102,42003459201,113
42003521302,42003020100,113
42003020300,42003020100,112
42003401100,42003401300,112
42003403500,42003403500,112
42003419000,42003419000,112
42003563100,42003469000,112
42003451102,42003020100,111
42003451102,42003451105,111
42003456003,42003456003,111
42003462100,42003020100,111
42003407001,42003407002,110
42003428200,42003020100,110
42003451101,42003451300,110
42003459102,42003459102,110
42003140200,42003982200,109
42003426700,42003020100,109
42003453004,42003453004,109
42003453004,42003564000,109
42003473100,42003982200,109
42003250300,42003020100,108
42003424000,42003020100,108
42003431400,42003020100,108
42003456001,42003456001,108
42003458000,42003452000,108
42003525200,42003020100,108
42003409000,42003459201,107
42003476100,42003476100,107
42003525100,42003020100,107
42003070800,42003982200,106
42003451104,42003451105,106
42003478100,42003478100,106
42003483800,42003020100,106
42003070900,42003040200,105
42003484500,42003484500,105
42003521301,42003521301,105
42003521302,42003521200,105
42003562800,42003020100,105
42003414200,42003414200,104
42003464300,42003459201,104
42003526101,42003525300,104
42003281500,42003020100,103
42003401100,42003401100,103
42003407001,42003020100,103
42003451101,42003451105,103
42003456003,42003458000,103
42003509400,42003020100,103
42003070600,42003982200,102
42003140300,42003140100,102
42003420000,42003421100,102
42003424000,42003421100,102
42003475304,42003475301,102
42003140200,42003020100,101
42003407001,42003407001,101
42003465600,42003020100,101
42003465800,42003459201,101
42003489001,42003489001,101
42003562900,42003020100,101
42003564500,42003020100,101
42003130600,42003020100,100
42003419000,42003421100,100
42003452000,42003451105,100
42003478200,42003478100,100
42003488600,42003488600,100
42003101700,42003020100,99
42003409000,42003408001,99
42003414102,42003414102,99
42003415002,42003020100,99
42003451104,42003451300,99
42003480101,42003478100,99
42003484500,42003483800,99
42003509400,42003521200,99
42003414102,42003982200,98
42003423000,42003421100,98
42003456003,42003456001,98
42003484500,42003484600,98
42003468900,42003459201,97
42003561900,42003020100,97
42003070500,42003040200,96
42003401100,42003421100,96
42003503002,42003503002,96
42003060500,42003020100,95
42003414102,42003421100,95
42003488500,42003020100,95
42003519000,42003982200,95
42003409000,42003421100,94
42003412002,42003412002,94
42003424000,42003424000,94
42003496102,42003020100,94
42003453004,42003451105,93
42003459201,42003451300,93
42003521301,42003521200,93
42003526301,42003526302,93
42003453003,42003459201,92
42003453004,42003453003,92
42003458000,42003470300,92
42003463900,42003020100,92
42003484500,42003040200,92
42003521402,42003521301,92
42003526201,42003020100,92
42003401100,42003401200,91
42003475200,42003475200,91
42003491101,42003488300,91
42003090300,42003020100,90
42003160900,42003040200,90
42003403500,42003421100,90
42003413100,42003411000,90
42003414102,42003413500,90
42003451101,42003459201,90
42003522000,42003521301,90
42003110200,42003040200,89
42003465800,42003469000,89
42003484600,42003020100,89
42003516200,42003982200,89
42003080700,42003982200,88
42003141300,42003040200,88
42003170200,42003170200,88
42003261500,42003020100,88
42003413300,42003982200,88
42003413500,42003409000,88
42003426800,42003421100,88
42003561400,42003982200,88
42003040900,42003982200,87
42003402000,42003403500,87
42003516100,42003020100,87
42003521302,42003521301,87
42003560500,42003982200,87
42003070300,42003982200,86
42003080900,42003982200,86
42003101400,42003040200,86
42003415002,42003421100,86
42003430200,42003430200,86
